,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,updates,personal,promotions,forums,purchases,travel,spam,social
0,"Mon, 15 Oct 2018 08:03:09 +0000 (UTC)",researchgatemail,net,0,0,multipart/alternative,4,28,0,1,47.0,25556,0,1,0,0,0,0,0,1
1,"Thu, 17 Apr 2014 09:12:33 -0700 (PDT)",no-ip,com,0,0,multipart/alternative,6,32,0,0,46.0,19930,1,1,0,0,0,0,0,0
2,"Thu, 27 Oct 2016 01:36:28 +0000",mail,goodreads.com,0,0,multipart/mixed,0,0,0,0,21.0,4,0,1,0,0,0,0,0,1
3,"Fri, 16 Oct 2020 08:06:31 +0000 (GMT)",insideapple,apple.com,0,0,multipart/alternative,108,171,0,0,52.0,96568,0,0,1,0,0,0,0,0
4,"Thu, 02 Jul 2015 10:16:46 +0000",twitter,com,0,0,multipart/alternative,20,166,0,0,81.0,95131,0,1,0,0,0,0,0,1
5,"Tue, 30 Jun 2015 12:32:11 +0000",hackerrank,com,0,0,multipart/alternative,8,30,1,0,26.0,66389,0,1,0,0,0,0,0,0
6,"Wed, 6 Jun 2018 14:03:02 +0530",staqu,com,3,0,multipart/alternative,0,16,1,0,32.0,27243,0,1,0,0,0,0,0,0
7,"Fri, 7 Dec 2018 19:10:10 +0530",statebankrewardz,com,0,0,text/html,3,17,0,0,20.0,7902,0,1,1,0,0,0,0,0
8,"Thu, 29 Mar 2018 12:57:37 +0000",non,schneider-electric.com,0,0,multipart/related,0,0,0,0,14.0,179181,0,1,0,0,0,0,0,0
9,"Wed, 20 Aug 2014 09:28:42 -0400 (EDT)",khanacademy,org,0,0,multipart/alternative,1,17,1,0,34.0,6846,1,1,0,0,0,0,0,0
10,"Wed, 17 Jun 2020 14:13:31 +0200",gmail,com,1,0,text/plain,0,2,1,1,25.0,1656,0,1,0,0,0,0,0,0
11,"Mon, 1 Aug 2016 13:20:12 +0000",coursera,org,0,0,multipart/alternative,5,27,1,1,48.0,30909,1,1,0,0,0,0,0,0
12,"Mon, 11 Apr 2016 15:12:04 +0530",iiitd,ac.in,1,0,multipart/alternative,0,0,1,0,35.0,5424,0,1,0,1,0,0,0,0
13,"Sat, 24 Aug 2019 03:02:32 -0700",google,com,0,0,text/html,6,28,0,0,37.0,8942,1,0,0,0,0,0,0,0
14,"Sat, 22 Sep 2018 02:55:18 +0000 (UTC)",flipkartletters,com,0,0,text/html,28,69,0,0,20.0,52144,0,1,1,0,0,0,0,0
15,"Fri, 29 Apr 2016 02:55:52 -0400",usief,org.in,0,0,multipart/alternative,0,17,0,0,47.0,11191,1,0,0,0,0,0,0,0
16,"Fri, 03 Apr 2020 06:42:49 +0000",gmail,com,0,0,multipart/alternative,4,12,0,0,37.0,6392,1,0,0,0,0,0,0,0
17,"Mon, 24 Apr 2017 14:30:53 +0530",iiitd,ac.in,0,0,multipart/alternative,0,2,0,0,3.0,6148,0,1,0,0,0,0,0,0
18,"Thu, 1 Jun 2017 14:49:37 +0000",freshersworld,com,0,0,text/html,2,11,1,0,49.0,9264,1,1,0,0,0,0,0,0
19,"Tue, 28 Aug 2018 20:59:40 +0530",iiitd,ac.in,1,0,multipart/alternative,1,8,1,0,65.0,6609,0,1,0,1,0,0,0,0
20,"Thu, 15 Feb 2018 12:50:58 +0530",iiitd,ac.in,0,0,multipart/alternative,0,18,1,0,7.0,9343,0,1,0,0,0,0,0,0
21,"Tue, 23 Dec 2014 16:39:30 +0000",youtube,com,0,0,multipart/alternative,16,65,0,0,59.0,48272,0,1,0,0,0,0,0,1
22,"Fri, 18 Oct 2019 22:56:20 +0200",centralesupelec,fr,1,0,multipart/alternative,0,5,0,0,29.0,9261,0,1,0,0,0,0,0,0
23,"Fri, 7 Jun 2019 18:37:07 +0000",imdb,com,0,0,multipart/alternative,21,104,0,0,40.0,71014,0,1,1,0,0,0,0,0
24,"Thu, 1 Jan 2015 18:49:12 +0530",csphclrectt14,in,0,0,multipart/mixed,0,0,0,0,42.0,352479,0,1,0,0,0,0,0,0
25,"Thu, 30 Jun 2016 12:01:58 +0530",iiitd,ac.in,0,0,multipart/alternative,7,19,1,0,36.0,16794,0,1,0,0,0,0,0,0
26,"Mon, 28 Jan 2019 12:23:44 +0100",centralesupelec,fr,3,0,multipart/alternative,81,77,1,0,31.0,58851,0,1,0,0,0,0,0,0
27,"Fri, 3 Mar 2017 23:21:08 +0530",iiitd,ac.in,0,0,multipart/alternative,0,6,0,0,10.0,1465,0,1,0,0,0,0,0,0
28,"Mon, 27 Nov 2017 12:27:24 +0000 (UTC)",udacity,com,0,0,multipart/alternative,12,40,0,1,49.0,59264,0,1,1,0,0,0,0,0
29,"Fri, 8 Apr 2016 14:58:42 +0530",iiitd,ac.in,4,0,multipart/alternative,0,9,1,0,38.0,8275,0,0,0,1,0,0,0,0
30,"Mon, 24 Aug 2020 05:46:10 +0000",quora,com,0,0,multipart/alternative,9,114,0,0,101.0,92049,0,0,0,0,0,0,0,1
31,"Tue, 9 Sep 2014 05:10:35 +0000",mbajunction,com,0,0,text/html,0,49,0,0,64.0,8989,1,1,0,0,0,0,0,0
32,"Mon, 10 Apr 2017 14:07:43 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,0,0,3.0,625,0,1,0,0,0,0,0,0
33,"Fri, 22 Mar 2019 09:06:45 +0000 (UTC)",bookmyforex,com,0,0,multipart/alternative,12,47,0,0,72.0,57234,1,1,1,0,0,0,0,0
34,"Tue, 02 Jun 2020 10:04:43 +0000",quora,com,0,0,multipart/alternative,8,107,0,0,76.0,102831,0,0,0,0,0,0,0,1
35,"Tue, 17 Jan 2017 05:34:20 +0000",usebackpack,com,0,0,text/html,4,13,0,0,34.0,27804,1,1,0,0,0,0,0,0
36,"Tue, 13 Oct 2020 13:01:46 +0000",localcirclesmail,com,0,0,multipart/alternative,2,8,0,0,25.0,10862,1,0,0,0,0,0,1,0
37,"Sat, 13 Jan 2018 12:13:54 +0000",atcoder,jp,0,0,text/plain,0,4,0,0,37.0,1199,0,1,0,0,0,0,0,0
38,"Sat, 6 Dec 2014 17:46:22 +0530",quikr,com,0,0,multipart/alternative,4,8,0,0,55.0,3559,1,1,0,0,0,0,0,0
39,"Fri, 18 Dec 2015 21:18:04 +0530",iiitd,ac.in,0,0,multipart/mixed,0,0,0,0,13.0,833,0,1,0,0,0,0,0,0
40,"Tue, 10 Jan 2017 08:31:21 +0530",iiitd,ac.in,1,0,multipart/alternative,0,6,1,0,16.0,2098,0,1,0,0,0,0,0,0
41,"Sun, 30 Aug 2015 23:40:56 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,18.0,1169,0,1,0,1,0,0,0,0
42,"Wed, 12 Feb 2020 13:26:03 +0000",quora,com,0,0,multipart/alternative,16,115,0,0,132.0,111050,1,0,0,0,0,0,0,0
43,"Mon, 18 Apr 2016 12:09:50 +0530",iiitd,ac.in,0,0,multipart/alternative,1,3,1,0,25.0,4669,0,1,0,0,0,0,0,0
44,"Fri, 9 Jun 2017 15:09:27 +0200 (CEST)",entertainment,bookmyshow.com,0,0,text/html,49,109,0,0,40.0,60638,0,1,1,0,0,0,0,0
45,"Thu, 09 Jul 2015 11:23:43 +0000",usebackpack,com,0,0,multipart/alternative,4,22,0,0,38.0,27796,1,1,0,0,0,0,0,0
46,"Thu, 26 Oct 2017 21:50:12 -0500 (CDT)",amazon,com,0,0,multipart/alternative,14,85,0,0,52.0,46771,1,1,1,0,0,0,0,0
47,"Tue, 23 Jul 2013 14:19:25 -0000",phpclasses,org,0,0,multipart/alternative,22,42,0,0,50.0,23608,1,1,0,0,0,0,0,0
48,"Mon, 18 Sep 2017 16:36:31 +0530",gmail,com,1,0,multipart/alternative,0,0,0,0,16.0,1243,0,1,0,0,0,0,0,0
49,"Mon, 26 Feb 2018 20:49:32 +0530",gmail,com,1,0,multipart/mixed,0,0,0,0,33.0,1372,0,1,0,0,0,0,0,0
50,"Sun, 25 Oct 2015 23:51:00 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,0,0,25.0,816,0,1,0,1,0,0,0,0
51,"Thu, 2 Jun 2016 14:46:23 +0530",iiitd,ac.in,0,0,multipart/alternative,1,1,1,0,48.0,3035,0,1,0,1,0,0,0,0
52,"Wed, 10 Jun 2020 10:33:29 +0000",twitter,com,0,0,multipart/alternative,3,29,0,0,71.0,19028,0,0,0,0,0,0,0,1
53,"Mon, 22 Feb 2016 03:35:42 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,38.0,27292,1,1,0,0,0,0,0,0
54,"Thu, 18 Jun 2020 20:03:41 +0000",eos,com,0,0,multipart/alternative,11,59,1,0,40.0,100783,1,0,0,0,0,0,0,0
55,"Thu, 8 Sep 2016 22:55:14 -0700 (PDT)",nptel,iitm.ac.in,0,0,multipart/mixed,0,0,0,0,23.0,4,0,0,0,1,0,0,0,0
56,"Sat, 19 Aug 2017 17:44:00 +0530",iiitd,ac.in,1,0,multipart/alternative,0,57,1,0,16.0,24409,0,1,0,0,0,0,0,0
57,"Thu, 8 Jun 2017 02:32:55 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,44.0,4,0,1,1,0,0,0,0,0
58,"Thu, 13 Aug 2020 15:14:28 +0000 (UTC)",pathable,com,0,0,text/html,0,9,1,0,38.0,15040,1,0,0,0,0,0,0,0
59,"Thu, 30 Jul 2020 14:01:03 +0000",standupalice,com,0,0,text/html,1,6,0,0,39.0,13085,0,0,0,1,0,0,0,0
60,"Thu, 10 May 2018 08:18:21 -0700 (PDT)",quora,com,0,0,multipart/alternative,14,116,1,0,56.0,104861,0,1,0,0,0,0,0,1
61,"Wed, 09 Nov 2016 13:30:50 +0000",google,com,0,0,multipart/alternative,2,23,0,0,31.0,10387,1,1,0,0,0,0,0,0
62,"Tue, 14 Nov 2017 01:32:01 +0000",m,mail.coursera.org,0,0,multipart/alternative,26,124,0,0,28.0,83285,1,1,0,0,0,0,0,0
63,"Thu, 14 Jul 2016 09:35:55 +0530",iiitd,ac.in,2,0,multipart/alternative,0,0,1,0,24.0,251,0,1,0,1,0,0,0,0
64,"Sun, 28 Sep 2014 22:12:32 -0700",facebookmail,com,0,0,multipart/alternative,1,7,0,0,42.0,8087,0,1,0,0,0,0,0,1
65,"Thu, 23 Mar 2017 03:39:24 +0000",localcirclesmail,com,0,0,multipart/alternative,2,10,0,0,77.0,17611,1,1,0,0,0,0,0,0
66,"Wed, 18 Mar 2020 12:47:47 -0700",deeplearning,ai,0,0,multipart/alternative,22,123,1,1,114.0,113703,1,0,0,0,0,0,0,0
67,"Sat, 16 Dec 2017 01:13:51 +0530",newsletter,speakingtree.in,0,0,multipart/alternative,19,80,0,0,30.0,36416,0,1,1,0,0,0,0,0
